timestamp,x_loc,y_loc,theta_loc,v_x,v_y
1763484676.6030955,-0.7702617807119215,3.2861511091222386,2.475113453286894,-0.41553626826388584,0.32683564851965785
1763484676.6047082,-0.7709319007887059,3.28667818496762,2.4726229320088096,-0.41470799128948527,0.3278592598306907
1763484676.606037,-0.7714829260924169,3.2871138137763656,2.4703746927655996,-0.4139242794579715,0.328754609064651
1763484676.6073368,-0.7720209689170678,3.2875411481156553,2.467908553302895,-0.4130945087914185,0.3297602276160348
1763484676.8110063,-0.8561557408182192,3.3547032646340225,2.1059534883085247,-0.32394839154293864,0.5464111059544398
1763484676.812449,-0.8566230917105786,3.355491555993478,2.1033188275183745,-0.3224917516129428,0.5472357061114788
1763484676.8136277,-0.8570032261071255,3.356136605405971,2.1011793722039016,-0.32132159881188116,0.5479267472303196
1763484676.8149898,-0.8574408935470661,3.356882928397086,2.098844271942233,-0.3203841357138154,0.5492633935069356
1763484677.0115623,-0.9204196175818535,3.464853029990954,1.8013168308959862,-0.14523591578686432,0.6188350071770499
1763484677.013569,-0.82066327314229,3.2665402478559336,1.8221914954689509,-0.13138623514311656,0.5115716977529916
1763484677.014813,-0.8208266952473023,3.267176555941179,1.8206871496204498,-0.13077280678665218,0.5123811715285947
1763484677.0160902,-0.8209937193652385,3.267830973440692,1.8191802689933427,-0.1299824617114242,0.5125062839042415
1763484677.2183225,-0.8472803794649144,3.371476329179902,1.595489958822026,-0.01072592193150114,0.43427154403284235
1763484677.2198713,-0.8472969914198102,3.3721489146553556,1.5937819685592867,-0.00998441883326918,0.434299833142869
1763484677.2211225,-0.8473094841313631,3.372692319597948,1.5923405269523048,-0.009358023094965199,0.43429670777625295
1763484677.2224448,-0.8473218579593176,3.3732665768624015,1.5909326711292373,-0.008746076937879722,0.4342841313810991
1763484677.3578925,-0.8485064943192719,3.4320893812167794,1.4434972985463879,0.07223949572296562,0.5644101121202676
1763484677.359592,-0.8483837270793405,3.4330485666452066,1.4416034798092918,0.07352742163671694,0.565959265316809
1763484677.3613174,-0.8482568602736953,3.4340250927155864,1.4397461526473831,0.07479754493707874,0.5674838637423627
1763484677.4049428,-0.8449937908401262,3.4587817775958074,1.391845943174179,0.10977184132950224,0.6068586159490416
1763484677.624729,-0.8208674585738904,3.5921609067940303,1.1762372251670565,0.2774388407679571,0.6662886070709149
1763484677.6262856,-0.820435587590916,3.5931980748952377,1.174709380628119,0.2790666479281085,0.6673229682805486
1763484677.6275704,-0.8200770322344886,3.594055476618161,1.173409038099271,0.2804209509542742,0.6681193294702026
1763484677.6288505,-0.8197180739697387,3.5949107156947577,1.1722781488745555,0.2809112535661223,0.6671721884659837
1763484677.8294876,-0.763356854099348,3.7287702102083515,1.012468015633196,0.3289544472240521,0.5266446202281949
1763484677.8311362,-0.762814518588485,3.7296384704844017,1.0111394618098835,0.32962612755917664,0.5261628982248211
1763484677.8325686,-0.7623423559187369,3.7303921561239104,1.0099802359898347,0.33026153057510316,0.5258213245142308
1763484677.8338754,-0.7619107793212652,3.7310792848298084,1.0089265442450877,0.3308087002594494,0.5254623956955824
1763484677.8351557,-0.7614872423720137,3.7317520384177425,1.007916291943347,0.3313350459833951,0.5251210570211648
1763484678.0342016,-0.6955363610923899,3.836275229999381,0.8524746654845864,0.277463314512827,0.31742638755409075
1763484678.0361538,-0.5721212002863428,3.753320825962041,0.8125483008066903,0.25575402966333804,0.27003272077513313
1763484678.037469,-0.5717848538442102,3.753675950551912,0.8113872881305163,0.2556284471145166,0.2692732551234184
1763484678.038751,-0.5714571441311959,3.7540211525908673,0.810197552949621,0.25591372893255226,0.2689322579666316
1763484678.2394865,-0.5200861561389457,3.8080054224163193,0.6085996918827237,0.38706796347387007,0.2697231072384472
1763484678.2410367,-0.5194861243104213,3.8084235465301806,0.6070270682463864,0.3875138918492977,0.26912950348189574
1763484678.2423577,-0.5189741884863281,3.8087790874205867,0.6056960813721392,0.387876365542665,0.2686166813682599
1763484678.243641,-0.5184764776386284,3.8091237679633236,0.6044439031070639,0.388224583564076,0.2681391835271332
1763484678.5470152,-0.40069912005829866,3.890470302512083,0.31219186574196567,0.7380810580870717,0.23821269400507314
1763484678.548584,-0.3995412227379774,3.8908440092168317,0.3105784550090124,0.7399816352879418,0.23750852632565195
1763484678.5498705,-0.3985892314412059,3.891149565516054,0.30942095701294814,0.7408586179787967,0.23684447295561445
1763484678.5511675,-0.39762833998417163,3.891456752103597,0.30840028878329817,0.7417148989229705,0.23628407288971298
1763484678.607757,-0.35565498800039486,3.9048279740838505,0.27419934903606846,0.7504542963915664,0.21109110254783658
1763484678.609328,-0.3544760693147383,3.905159585544223,0.27345189511863044,0.7498052460199723,0.21030387401993517
1763484678.61061,-0.35351483645993104,3.9054291902106004,0.27296264536495674,0.7492930289441656,0.2097648322132236
1763484678.7512014,-0.24817069326313784,3.934920318072098,0.21643642522418835,0.7566905801267252,0.16638158744330064
1763484678.75281,-0.24695347311311652,3.9351879611829643,0.21595604871954957,0.7576327007674323,0.16620723680881094
1763484678.754094,-0.2459807605740081,3.935401352003042,0.2155636429626331,0.7577061105665786,0.16591173049724936
1763484678.9560127,-0.09298562135810234,3.9689020562351853,0.1589778434544206,0.5671204209979102,0.09092690280119549
1763484678.9574957,-0.0921446024384897,3.969036897518846,0.1584866026432549,0.565674609582876,0.09041009134715815
1763484678.9586942,-0.09146662433714722,3.969145256743452,0.15805780963380084,0.5645416705286597,0.08998077890195752
1763484678.9601796,0.04873694775183014,4.069350078107093,0.12792455571378145,0.6620991844032044,0.08516381146646795
1763484679.1610844,0.18175588255781144,4.086459900550838,0.08871442162176035,0.5635524353790762,0.050126800869125056
1763484679.162674,0.18265166981755043,4.086539578938813,0.08853740499938301,0.5627719626923188,0.04995697289092876
1763484679.1639826,0.18338815799370986,4.086604956609148,0.08838189467953812,0.5627835765651097,0.04986979676254849
1763484679.1653755,0.18417202622412268,4.0866744173236516,0.08828877764609987,0.5628000040523709,0.04981843511068195
1763484679.3679829,0.2981994679745758,4.096768000597957,0.02828151408835499,0.5623273524525209,0.01590771039593748
1763484679.3695648,0.2990890177028555,4.096793165120719,0.027641209913389617,0.5615567381217716,0.015526062037415824
1763484679.370871,0.2998225766838376,4.09681344674406,0.02712325264177538,0.5615963193637753,0.015236055276547292
1763484679.372173,0.300553777259677,4.096833284146848,0.026591685344506923,0.5615986459014155,0.014937375475375514
1763484679.573868,0.41382539669241736,4.099846077575962,-0.07323398650491748,0.6598573085732974,-0.04841055762949828
1763484679.5754325,0.41485774524389524,4.099770339127065,-0.07421929733038511,0.6606369521442282,-0.04912224020640402
1763484679.5767348,0.415718054614082,4.099706370069026,-0.07504573250496102,0.6606198046003685,-0.04966997698987749
1763484679.5780125,0.41656211873839283,4.099642907476261,-0.07596332531408002,0.6612335024276583,-0.050326334389126925
1763484679.7764485,0.5477746644441982,4.089656349888064,-0.22069033030891905,0.6511566550761344,-0.14608333884572444
1763484679.7779977,0.5487834649376018,4.089430031162521,-0.2217965468030033,0.6494873046223097,-0.14646365171395068
1763484679.7793188,0.5496414879027737,4.089236541350112,-0.22279398967403777,0.6493153469932661,-0.1471056177835388
